file_id,neighborhood,date,count,type,x,y
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6282638.533518282,1842059.63793916
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6283311.814452644,1842438.283915546
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6283593.2147402065,1842075.5269467167
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6283611.703094174,1841944.965474295
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6283527.287033311,1841858.8311115792
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6283584.144430941,1841678.2383635438
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6283480.0524356365,1841542.616696554
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6282752.207362492,1841692.243864582
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,3,1,6283196.113182922,1841520.441797964
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,2,1,6282755.6264267415,1841232.7486138216
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,6,1,6282677.496003686,1841121.719495819
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,1,1,6283322.563058002,1841134.301105346
NVzqTBVfeD5UYt/TODpGGPHvf7SBAFfOT3ZEFg==,core,2019-04-25,5,1,6283600.462379214,1841218.6222302634
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280127.104075056,1842302.4762117553
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,6,1,6280211.588345421,1842257.4912418849
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,7,1,6280174.4546760535,1842100.0256085014
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280522.674541783,1841553.856241556
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280526.550076004,1840562.7368013915
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280706.423390157,1841905.6310410118
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280676.214020209,1841703.9117122998
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280671.594563334,1841527.201628712
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,3,1,6280687.616299434,1841230.3569607914
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280697.9649363505,1840857.8142225018
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6280722.359730043,1840377.824341077
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,8,1,6281356.829573504,1840889.4778938508
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,4,1,6281042.516597577,1841902.4621846625
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,4,1,6281025.102184166,1841713.2474785128
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6281020.548579935,1841530.2241440986
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,7,1,6281294.379173425,1841300.3876534589
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6281237.394542813,1841187.2975944942
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,2,1,6281303.693711605,1842266.1322112286
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6281387.058487019,1842328.4725054028
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,2,1,6281337.920092845,1842082.7432395434
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,2,1,6281303.157118667,1841698.0005764177
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,16,1,6281281.725693963,1841893.8941706647
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,3,1,6281527.266415972,1841897.891718774
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6281525.017654286,1841493.904605444
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6281609.040956141,1841493.1123913566
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,2,1,6281805.453055762,1841870.0183150268
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,2,1,6281858.740166517,1841718.012778837
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6282119.917280546,1842081.6828054031
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,4,1,6282204.994224708,1841979.8785780969
Ct0Sd2n1Tj+H/ptN/3y7IedR4oDFb13Fs3aZzQ==,core,2019-05-29,1,1,6282134.951226983,1841879.5368998752
